Programmierung I,6,#00b2c9;Lineare Algebra I,9,#008080;Basiskurs Mathematik,6,#008080;Wahlfach,9,#79a9cf;
Algorithmen und Datenstrukturen,7,#00b2c9;Lineare Algebra II,9,#008080;Analysis I,9,#00216e;Wahlfach,5,#79a9cf;
Proseminar zur Mathematik,3,#e2e9ff;Einführung in die Stochastik,9,#00216e;Analysis II,9,#00216e;Wahlfach,9,#79a9cf;
Mathematische Software,7,#00b2c9;Wahlpflicht rein,9,#db4f8c;Wahlpflicht (angewandt),7,#730133;Wahlfach,7,#79a9cf;
Seminar,4,#e2e9ff;Wahlpflicht rein,9,#db4f8c;Wahlpflicht (angewandt),9,#730133;Wahlfach,5,#79a9cf;Fremdsprache / Schlüsselkompetenzen,3,#02c254
Bachelorarbeit & Präsentation,15,#e2e9ff;Wahlpflicht rein,6,#db4f8c;Wahlpflicht (angewandt),9,#730133;;
