Programmierung I,6,#db4f8c;;Technische Informatik,7,#00b2c9;Grundlagen der Informatik,7,#00b2c9;;Lineare Algebra I,9,#02c254
Algorithmen und Datenstrukturen,7,#db4f8c;;Software Engineering,5,#db4f8c;Kosten-rechnung,9,#79a9cf;;Analysis I,9,#02c254;Lineare Algebra II,9,#730133;Fremdsprache FFA 1.1,5,#008080
;Programmierung II,6,#db4f8c;;Management und Unternehmens- führung,9,#79a9cf;Theoretische Informatik I+II,9,#02c254;Einführung in die Stochastik,9,#02c254;Analysis II,9,#730133;Fremdsprache FFA 1.2,5,#008080
Grundlagen der IT-Sicherheit,5,#00216e;Datenbanken und Informationssysteme I+II,10,#00216e;;Rechnernetze,7,#00216e;;Rechner-architektur,5,#00b2c9;Wahlpflicht,5,#e2e9ff;Fremdsprache FFA 2.1,5,#008080
Software Engineering Praktikum,13,#e2e9ff;;Software Testing,6,#db4f8c;Seminar Informatik,4,#e2e9ff;;Verteilte Systeme,5,#00b2c9;Wahlpflicht Informatik,5,#e2e9ff;Fremdsprache FFA 2.2,5,#008080
Bachelorarbeit & Präsentation,15,#e2e9ff;;Schlüssel-kompetenzen,3,#e2e9ff;;;Wahlpflicht Informatik,5,#e2e9ff
